shell-color-scripts 1.1.r113.576735c-1
shotcut 22.12.21-1
signal-desktop 6.16.0-1
simple-scan 44.0-1
simplescreenrecorder 0.4.4-2
sloccount 2.26-10
smartmontools 7.3-1
sniffnet 1.1.4-1
speedtest-cli 2.1.3-5
stalonetray 0.8.5-1
steam 1.0.0.76-1
steam-native-runtime 1.0.0.75-3
stopwatch 3.5-8
stylua 0.17.1-1
sudo 1.9.13.p3-1
sushi 43.0-1
systeroid 0.4.1-1
teams 1.5.00.23861-1
testdisk 7.1-5
texinfo 7.0.3-1
texlab 5.4.1-1
texlive-bibtexextra 2023.66579-1
texlive-core 2023.66587-2
texlive-fontsextra 2023.66328-1
texlive-formatsextra 2023.66186-1
texlive-games 2023.66190-1
texlive-humanities 2023.65502-1
texlive-music 2023.66278-1
texlive-pictures 2023.66549-1
texlive-pstricks 2023.66115-1
texlive-publishers 2023.66550-1
texlive-science 2023.66461-1
thunar 4.18.6-1
thunderbird 102.10.1-1
tlp 1.5.0-6
tmux 3.3_a-3
totem 43.0-2
tracker3-miners 3.5.1-2
ttf-jetbrains-mono-nerd 3.0.0-2
typescript 5.0.4-1
ueberzug 18.2.0-1
v4l2loopback-utils 0.12.7-2
ventoy-bin 1.0.91-1
vi 1:070224-6
vim 9.0.1420-1
vim-startuptime 4.3.0-2
virtualbox 7.0.8-1
virtualbox-host-modules-arch 7.0.8-3
vlc 3.0.18-9
vscode-json-languageserver 1.77.0-1
wget 1.21.3-1
whatsapp-nativefier 2.2305.7-1
which 2.21-6
wireless_tools 30.pre9-3
wpa_supplicant 2:2.10-8
xborder-git 1.0.0-2
xclip 0.13-3
xdg-user-dirs-gtk 0.11-1
xdg-utils 1.1.3+25+g8ae0263-1
xorg-server 21.1.8-1
xorg-xinit 1.4.2-1
xournalpp 1.1.3-1
xterm 379-1
yaml-language-server 1.12.0-1
yay 12.0.4-1
yelp 42.2-1
zathura 0.5.2-2
zathura-pdf-mupdf 0.4.0-3
zram-generator 1.1.2-1
